mileage,price,Bike name,Types and Used  Time,description
"20,000 miles","$8,750 ",Raider,  2008 Yamaha Cruiser,"Yamaha's Raider platform turns heads and pulls like a freight train. Smooth, high quality components and powerful. This raked cruiser corners like a sports bike and sounds incredible. Pros:Expert competence rider recommended0-60 in 4.0 sec100hp, 124 ft/lb torque - quick power in all gears4.1 gal tank - 35-39 mpg on 87 octane740lbsBelt driveHydraulic clutch240mm Michelin rear rubberGreat conditionLow miles - 20,000 miHigh quality parts and finish, the bike feels solid and sturdyVtwin rumble, mean exhaust noteReliable & stable at highway speedsDrag style barsManual Cruise control Kuryakyn brake and clutch leversKurakyn Padded gripsBlack slotted mirrorsStock exhaust (cats and exup intact)Automatic turn signal canceling Integrated LED taillight Cons:Bike was dropped at standstill and dented right side of gas tank, aesthetic issue onlyRear axle drone noise, suspect bearings need to be replaced. This just started last week, during service the shop mechanic could not replicate the issue. I plan to have this replaced or will knock $200 off the asking price to compensate - Rear Wheel Bearing Kit - part no. 25-1762 - $70.72 plus labor https://www.allballsracing.com/25-1762.htmlRecent Maintenance:New Front & Rear Tires @ 18,039 miles Nov 2022New starter relayBrake & clutch fluid replaced & flushedNew rear brake padsNew spark plugs & top engine fuel system treatmentHarley Davidson windshield ($500) New Viking Leather Saddle bags ($200)0/13/22 17500 mi Changed oil-Yamalube 10w-40 Next oil change 21,500mi10/13/22 17500mi Replace air filter k & n10/13/22 17500mi Top of engine seafoam Crankcase seafoam ran for 150 miles10/19/22 17500mi Spark plugs NGK10/21/22 17600 New Transfer case oil & belt adjust ProHonda Hypoid Gear Oil 80w9010/21/22 17600 New Exhaust gaskets 11/2/22 18039 New Tires, wheel cleaned, new rear pads, valve stems, axel greased, inspected 11/15/22 Hydrolic Clutch Fluid Replaced Dot 412/10/22 Aerospace protectant treated plastics, rubber 3/25/22 Windshield installed3-25-22 viking bags installed3-16-23 New oem starter relay and fuses3.21.23 Inspect pulley area, lubed pulley with aerospace treatment protectant4/15/23 dot 4 brake fluid flush, cleaned pads & rotors front & rear3+ owner, very clean, well maintained, garaged, very fast, belt drive, seafoam gas treatment every other tank, good battery- no trickle charge needed, turn key and ride, weekly driver. Viking bags and windshield included with full asking price. Cash or bank certified check only, not interested in trades. Cash in hand to test drive, u drop it u buy it. Text or call with any questions 5 four zero - 328 - zero550 Chris"
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"Featuring an all-new engine and premium sport touring features that come standard, the most versatile touring partner for when you're commuting or riding across the mountains."
,"$13,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, ON SALE! ASK ABOUT PROMO FINANCING AS LOW AS 2.99 FOR 60 MONTHS WITH APPROVED CREDIT! COME BY CALL OR TEXT BREWER CYCLES TODAY! WE ARE WORTH THE DRIVE!  2022 Yamaha Tracer 9 GT"
"21,558 miles","$8,783 ",MT-09,  2020 Yamaha Standard,"2020 Yamaha MT-09, 2020 Yamaha MT-09"
"19,104 miles","$12,783 ",Super Tenere ES,  2018 Yamaha Touring,"2018 Yamaha Super Tenere ES, 2018 Yamaha Super Ténéré ES"
"14,000 miles","$14,000 ",SUPER TENERE XT1200Z,  2015 Yamaha Dual Sport,"Low seat by Touratech. Low suspension link (not installed). More than $4500 saving for you.Electronic suspension for softness and preload height. 3 Touratech boxes.This bike is in great condition! It is so fun for streets, canyons and dirt roads. Fun powerful engine! I still ride this motorcycle once every 2 weeks. New off-road back tire included ($250 paid but not installed yet). This bike has all packages and upgrades!Electronic suspension for softness and preload height. Heated gripsCruise controlModified mid-pipe for great engine sound but not too loud.2 sets of keys$2500 Touratech 3 black cases with back rest for passenger.$250 lithium battery$200 corner fog lights. $100 LED headlight. $200 Off road AUX light.$750 upgraded premium comfort front and back seats. $300 Upgraded high windshield. $200 Highway pegs. $250 Front and back wheel sliders. $500 Engine protective guards.$600 Skid plates and other protective plates$1200 Akrapovic exhaust (NOT included in this sale. I will switch to original exhaust if you don't want it)Only some minor scratches on the right gas tank. You can't notice them in photos.Reason for selling: I want an automatic DCT motorcycleClean Title. Title in hand. It is in excellent condition.More than $3000 saving for you.Price is firm. Too many people contacted me to talk about price, so I decided to directly put my lowest price to save your time and energy. If buying from private party, you don't have to pay for fees or charges or txxPlease text or voicemail or email to see this motorcycle at Monterey Park CA 91754. After you see it, we can meet at a dealership for inspection or test ride. {6z6]8oz-74B7"
,"$18,299 ",FJR1300ES 1300 ES,New 2023 Yamaha Sport Touring,
,"$8,499 ",YZ250F,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ250F, Easy Financing, Low Payments, Call Now, Click for More Info! 321-312-4352  2022 Yamaha YZ250F"
"5,191 miles","$10,995 ",YZF R7,  2022 Yamaha Sportbike,Financing Available - *Instant Approval*
"2,396 miles","$8,500 ",MT 07,  2021 Yamaha Standard,"2021 Yamaha MT07Purchased new in '21 Only 2396 miles! Always stored inside!First recommended service performed by Motorsports Nation in '21Last oil change done at 1400 miles w/ Yamalube and Genuine Yamaha oil filterWill be sold with a fresh oil change and filterThis motorcycle is mechanically stock with no performance upgradesI have done a few cosmetic upgrades listed below:TST industries all-in-one LED Tail-light and Fender EliminatorFull set of TREX Racing Sliders, only axle sliders currently installed but will include all frame sliders and rear spools with saleBlue anodized PUIG shorty clutch This motorcycle is clean and has never been dropped. The reason I am selling is a change in interest of owning a moto in CT.Cash transactions will only be conducted at a bank however certified bank checks are preferred. No digital payments will be considered.Any additional questions please let me know"
"5,300 miles","$9,995 ",TENERE 700,  2021 Yamaha Dual Sport,"Looking to sell my  Tenere 700 in arguably the best color combo! I'm the only owner and have taken great care of the bike. All scheduled maintenance has been performed per the owner's manual including oil changes. I've added worth of modifications, which have improved the performance and aesthetics of the bike. There is one small dent and some scratches on the left fairing (see photos). I'm selling because a recent snowboarding injury will prevent me from riding for the forseeable future.-Rox 1-1/4"" Block Offset Risers-AltRider Adjustable Windscreen Risers-CRG RC2 Brake Lever-Barkbusters Aluminum Handguard -Barkbusters VPS Replacement Plastic Guards-SW-MOTECH Crash Bars This low mileage bike is ready for the highway and ready for the trails!"
"4,200 miles","$14,995 ",YZF R6,  2019 Yamaha Sportbike,2019 YAMAHA R6 Title in hand. Great bike!Installed parts;-Yusas Battery (April 2023)-Michelin Road 5 Tires Front/Back (August 2022)-Yamaha Quick Shifter-M4 Street Slayer Slip-On-Yoshimura Fender Eliminator-CRE RC2 Brake/Clutch Levers-Zero Gravity Double Bubble Windscreen-Puig Foot Pegs Front/Rear-Yamaha Frame Sliders-Luimoto Seat Cover-Yamaha Rear Seat Cowl-Quadlock Stem Mount with Wireless Charging-Mo-Door Garage Door Opener-Puig Tank Pad-Pit Bull Rear Spool Kit-Effex Reflective Wheel Stripes-RockMute Axe Sliders-MC Motorparts Bar Ends-Moto Socks Brake Reservoir Cover-Trackside Rear Paddock Stand included
"2,317 miles","$8,500 ",STRYKER XVS1300CT,  2014 Yamaha Cruiser,"2014 Yamaha Stryker XVS1300CU. Super clean with very very low miles. I have a VW Manx dune buggy that took up all my time allowing the miles to stay low on this gem of a bike. *Only 1 owner.*Garage kept and battery tendered.*New battery summer of 2022.*Sissy bar for a passenger.*low profile windshield to take pressure off your chest and face.*Tires are original with plenty of tred, only 2317 miles on them.*Bike comes stock with a half foot of stretch with 210 back tire. Wide tire makes it look mean from behind.*Easy to ride with most of the weight low on the bike, easy to control on turns at low speed. The low profile allows those with a short inseam to contact the ground with both heels. I'm 5'8"" and can sit comfortably with both heels down at a stop. *New upgraded grips come with the bike to take away road vibration. (never installed)*I have extras for additional $ or listing price is firm with extras. If your new to the bike world I have the following: Jacket (Large “44”), Helmet (Large), Boots (size 10 us).Sad to sell this bike but I love driving my VW Manx Dune buggy a lot more and so does my wife.Local pickup only.No finacing avaliable.No test rides. I can drive the bike to show its proformance."
"4,130 miles","$5,200 ",RAIDER S,  2008 Yamaha Cruiser,"This bike had never been dropped, crashed or damaged in any way. Always garaged and covered. With ONLY 4,130 miles on the engine you will never find even showroom quality for this price! Price is firm (There's no better deal to be found) and cash only. In the world of custom-looking cruisers with a production bike price tag, it doesn't get much better than the 2008 Yamaha Raider S. This machine has the jaw-dropping performance and state-of-the art technologies as the base model, but with a lot more chrome, to add a shiny and custom look to the already brilliant Raider. Chromed triple clamps, chromed fork sliders, chromed air box cover, chromed engine covers, chrome seems to be the word on everyone's lips when they talk about this machine. And, with the addition of the big and fat 21/18 tires and wheels, plus a custom-like 6-degree yoke angle usually found on much more expensive one-of-a-kind choppers, this machine is sure to attract every bit of attention a bike of its stature deserves.PowerHigh-performance, 1854cc (113 cubic inch) air-cooled, long-stroke, OHV, 4 valves per cylinder, 48°, V-twin powerplant produces massive torque and class leading acceleration from very low rpms. PerformanceMaximum torque occurs at 2,500 rpm while maximum power occurs at 4,500 rpm, providing exciting acceleration with great pulse and torque feel.StyleChrome headlight, turn signals with clear lenses, upper & lower triple clamps, lower fork legs, handlebar clamp, engine covers. Brushed aluminum wheel accents, front calipers, handlebar switches, master cylinders (brake & clutch)"
,"$10,199 ",XSR900,New 2023 Yamaha Standard,"2023 YAMAHA XSR900,    Top Features"
,"$6,999 ",YZ125,New 2023 Yamaha Competition,"2023 YAMAHA YZ125,    Top Features  Engine Features"
,"$13,977 ",Tracer 9 GT,New 2022 Yamaha Touring,
1 miles,"$7,899 ",MT-07,New 2022 Yamaha Standard,"2022 YAMAHA MT-07,    Top Features  Engine Features"
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,
"22,984 miles","$8,999 ",FJR1300ES  1300 ES,  2016 Yamaha Sport Touring,"2016 Yamaha FJR1300ES , ONLY 22,984 MILES, ELECTRONIC ADJUSTABLE SUSPENSION, ABS, TRACTION CONTROL, CRUISE CONTROL, RIDE MODES CONTROL, HEATED GRIPS, POWER ADJUSTABLE WINDSHIELD, TANK BAG, CENTER STAND, AND MORE! NICE FACTORY LOADED SPORT TOURING! THERE ARE RIGHT AND LEFT SIDE TIP OVER MARKS THAT HAVE BEEN TOUCHED UP. THE RIGHT SIDE LOWER FAIRING ALSO HAS A PIECE MISSING.  2016 Yamaha FJR1300S™"
49 miles,"$11,000 ",V STAR 650 CLASSIC,  2010 Yamaha Custom,2010 V-Star 650 Classic custom 49 original miles "Journey" was customized by Roar Motorcycles of Daytona Beach Fl. Paint is by the renowned airbrush artist "Fern". Customization includes Tri Coat Pearl White Metallic base with lots of airbrushing and placement of Crystals in all art work. One up Ostrich saddle. Custom saddlebags with handmade fender fillers. All controls placed for woman 5-5'6" in height. Yamaha Silverado windshield. Vance and Hines Exhaust. RGB lighting with remote. Matching helmet never worn. Jeremiah 29:11 painted in scroll on front fender. Must see to believe this bike. Not another in this condition and miles.
,"$4,999 ",MT-03,New 2023 Yamaha Sportbike,
1 miles,"$10,499 ",Ténéré 700,New 2023 Yamaha Standard,
1 miles,"$7,899 ",MT-07,New 2022 Yamaha Sportbike,
,"$8,999 ",YZ450F,  2021 Yamaha Dirt Bike,"2021 Yamaha YZ450F, Price does not include taxes or fees. Please call or text our internet department for further information. 865-985-4126  2021 Yamaha YZ450F"
"5,900 miles","$13,990 ",YZF-R6,  2018 Yamaha Sportbike,"2018 Yamaha YZF-R6, HOT COLOR! LOW MILEAGE!  2018 Yamaha YZF-R6"
"14,556 miles","$5,995 ",Roadliner 1900,  2009 Yamaha Cruiser,2009 Yamaha Roadliner 1900ccJust serviced 200 miles ago and new tires 14615 miles(miles may change as I’m still riding) Ready to Ride. Registered and Clean Title in My name Located in Oakdale Ca $5995 obo209-573-0927 https://youtu.be/1yD8x5FN91g
"21,202 miles","$2,999 ",V-Star 650 XVS65a CLASSIC,  2003 Yamaha Cruiser,"2003 Yamaha V-Star 650 XVS65a, 2003 YAMAHA XVS65AR/C V-STAR CLASSIC!! IN GREAT SHAPE! VANCE & HINES EXHAUST AND LOTS OF STORAGE!! call now before this bike rides away! Runs/shifts/rides perfect. 30 day Unlimited mileage powertrain warranty!! All of our motorcycle go through a vigorous 38 point safety inspection. We know our Customers demand the best, thats why SpinWurkz Certified Pre-owned motorcycles leave our customers raving! We live by our motto. When Quality Matters. We work with multiple lenders & offer the best in Finance. Trades excepted! Come down to see our exceptional inventory SpinWurkz Motorcycles 6585 SEMINOLE BLVD SEMINOLE FL WWW.727RIDE.COM. TEXT ONLY LINE 716-903-4504 OR CALL SHOP AT 727-273-9500. We do not own the rights to this music."
"7,072 miles","$15,990 ",FJR1300ES 1300 ES,  2021 Yamaha Sport Touring,
,"$11,000 ",MT 09 SP,  2021 Yamaha Sportbike,"2021 Yamaha MT-09 SP, bike has been meticulously maintained only ridden on Sundays, some of the features are custom, Acura Povick exhaust,Sprint air filter, engine, ice, tail tidy,DMP Aluminum Fly Screen,Motul 300V Factory Synthetic Oil (oil has been changed three times) Bar end mirrors, Ceramic wheel, bearings, front and rear, also have stock exhaust. this bike is set up and ready to go. It is a blast to ride bike has not been ab  need to put eyes on it. It's a stunner.No Trades! Any Questions feel free to ask"
