mileage,price,bike,Types ,description
5 miles,"$4,699 ",Classic 350 Dark Gunmetal Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Dark Gunmetal Grey, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2023 Royal Enfield Classic 350 Chrome Bronze"
,"$4,499 ",Classic 350 Halcyon Green,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Green, 2023 Royal Enfield Classic 350 Halcyon Green"
,"$4,799 ",Classic 350 Chrome Bronze,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Bronze, 2023 Royal Enfield Classic 350 Chrome Bronze"
3 miles,"$4,599 ",Classic 350 Halcyon Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Black, New 2023 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports"
,"$5,449 ",Himalayan Rock Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Rock Red, 2023 Royal Enfield Himalayan Rock Red"
,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black"
,"$4,599 ",Classic 350 Signals Desert Sand,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Signals Desert Sand, New 2022 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports"
5 miles,"$4,599 ",Classic 350 Dark Stealth Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Dark Stealth Black, 2022 Royal Enfield Classic 350 Signals Desert Sand"
,"$4,599 ",Classic 350 Halcyon Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Black,"
,"$4,599 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey,"
,"$4,599 ",Classic 350 Halcyon Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Grey, 2023 Royal Enfield Classic 350 Halcyon Grey"
,"$5,449 ",Himalayan Lake Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Lake Blue, 2023 Royal Enfield Himalayan Lake Blue"
,"$5,299 ",Himalayan Mirage Silver,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Mirage Silver, 2022 Royal Enfield Himalayan Mirage Silver"
,"$5,299 ",Himalayan Mirage Silver,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Mirage Silver, 2022 Royal Enfield Himalayan Mirage Silver"
,"$6,149 ",INT650 Ventura Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Ventura Blue, 2023 Royal Enfield INT650 Ventura Blue"
,"$4,799 ",Meteor 350 Stellar Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Blue, 2023 Royal Enfield Meteor Fireball Red"
,"$4,799 ",Meteor 350 Stellar Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Blue, 2023 Royal Enfield Meteor Stellar Blue"
"3,160 miles","$3,991 ",Classic 350 Halcyon Grey,Used 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, Why buy USED? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing Used Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States."
,"$5,299 ",Himalayan Lake Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Lake Blue, 2022 Royal Enfield Himalayan Lake Blue"
,"$5,299 ",Himalayan Lake Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Lake Blue, 2022 Royal Enfield Himalayan Lake Blue"
,"$4,799 ",Meteor 350 Stellar Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Red, 2023 Royal Enfield Meteor 350 Stellar Red"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush"
,"$5,099 ",Scram 411 Silver Spirit,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Silver Spirit, 2023 Royal Enfield Scram 411 Silver Spirit"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red"
,"$5,099 ",Scram 411 Silver Spirit,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Silver Spirit, 2023 Royal Enfield Scram 411 Silver Spirit"
5 miles,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,
,"$5,299 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green"
,"$4,699 ",Classic 350 Chrome Bronze,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Bronze, 2022 Royal Enfield Classic 350 Chrome Bronze"
,"$5,299 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, 2023 Royal Enfield Scram 411 Graphite Yellow"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, 2023 Royal Enfield Scram 411 Graphite Yellow"
5 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,
5 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$5,998 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$6,499 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
1 miles,"$5,746 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
213 miles,"$8,500 ",PEGASUS 500 Battle Green,Used 2018 Royal Enfield Standard,"2018 Royal Enfield PEGASUS 500 Battle Green, ROYAL ENFIELD PEGASUS 500 VERY UNIQUE PEGASUS MODEL  2018 Royal Enfield Classic Battle Green"
,"$6,349 ",Continental GT 650 British Racing Green,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 British Racing Green, 2023 Royal Enfield Continental GT 650 British Racing Green"
,"$6,149 ",INT650 Canyon Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Canyon Red, 2023 Royal Enfield INT650 Canyon Red"
,"$5,299 ",Himalayan Gravel Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Gravel Grey, 2022 Royal Enfield Himalayan Gravel Grey"
,"$5,299 ",Himalayan Gravel Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Gravel Grey, 2022 Royal Enfield Himalayan Gravel Grey"
1 miles,"$5,908 ",INT650,New 2022 Royal Enfield Cruiser,
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Graphite Blue"
,"$5,099 ",Scram 411 Skyline Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Skyline Blue, 2023 Royal Enfield Scram 411 Skyline Blue"
,"$4,599 ",Classic 350 Halcyon Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Black, 2023 Royal Enfield Classic 350 Halcyon Black"
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Graphite Blue"
,"$4,499 ",Classic 350 Halcyon Green,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Green, 2022 Royal Enfield Classic 350 Halcyon Green"
,"$4,499 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black, 2022 Royal Enfield Classic 350 Halcyon Black"
,"$6,199 ",INT650,New 2022 Royal Enfield Cruiser,
,"$6,699 ",INT650,New 2022 Royal Enfield Cruiser,
,"$5,999 ",INT650,New 2022 Royal Enfield Cruiser,
,"$6,649 ",Continental GT 650 Ventura Storm,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 Ventura Storm, 2023 Royal Enfield Continental GT 650 Ventura Storm"
,"$6,149 ",INT650 Canyon Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Canyon Red, 2023 Royal Enfield INT650 Canyon Red"
,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black"
,"$6,149 ",INT650 Mark 2,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Mark 2, 2023 Royal Enfield INT650 Mark 2"
3 miles,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,
,"$4,299 ",Himalayan Mirage Silver,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Mirage Silver, 2022 Royal Enfield Himalayan Mirage Silver"
1 miles,"$5,679 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
5 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,
,"$4,699 ",Meteor 350 Fireball Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Fireball Red, 2023 Royal Enfield Meteor Fireball Red"
,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black"
,"$4,799 ",Meteor 350 Stellar Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Black, 2023 Royal Enfield Meteor 350 Supernova Brown"
,"$4,899 ",Meteor 350 Supernova Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Supernova Blue, 2023 Royal Enfield Meteor Fireball Red"
3 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,"With its beautifully sculpted lines of the gleaming, hand-polished aluminum engine, classic teardrop tank and diamond-quilt-patterned twin seat, the INT650 harkens back to a golden era of motorcycling. The vintage-inspired aesthetics is augmented with the 36-spoke aluminum alloy rims and tires specially developed for Royal Enfield. What really brings the legend to life is the evocative exhaust note, one that meters on a power-on rumble, meant to turn heads and move your soul."
5 miles,"$5,999 ",INT650,New 2022 Royal Enfield Cruiser,
1 miles,"$5,399 ",Int650 Ventura Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Ventura Blue, 2022 Royal Enfield Int650 Ventura Blue"
1 miles,"$5,399 ",Int650 Ventura Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Ventura Blue, 2022 Royal Enfield Int650 Ventura Blue"
,"$6,649 ",Continental GT 650 Dux Deluxe BASE,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 Dux Deluxe, 2023 Royal Enfield Continental GT 650 British Racing Green"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 Graphite Blue"
,"$6,349 ",INT650 Sunset Strip,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Sunset Strip, 2023 Royal Enfield INT650 Sunset Strip"
,"$5,099 ",Scram 411 Silver Spirit,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Silver Spirit, 2023 Royal Enfield Scram 411 Silver Spirit"
,"$4,699 ",Meteor 350 Fireball Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Fireball Yellow, 2023 Royal Enfield Meteor Fireball Red"
,"$7,149 ",Continental GT 650 Mr.Clean BASE,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 Mr.Clean, 2023 Royal Enfield Continental GT 650 Mr.Clean"
,"$6,349 ",Continental GT 650 British Racing Green,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 British Racing Green, 2023 Royal Enfield Continental GT 650 British Racing Green"
,"$5,999 ",INT650,New 2022 Royal Enfield Cruiser,
1 miles,"$4,649 ",Meteor Fireball Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Meteor Fireball Red, 2022 Royal Enfield Meteor Fireball Red"
,"$6,499 ",Continental GT Dux Deluxe,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT Dux Deluxe, 2022 Royal Enfield Continental GT Dux Deluxe"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,"With its beautifully sculpted lines of the gleaming, hand-polished aluminum engine, classic teardrop tank and diamond-quilt-patterned twin seat, the INT650 harkens back to a golden era of motorcycling. The vintage-inspired aesthetics is augmented with the 36-spoke aluminum alloy rims and tires specially developed for Royal Enfield. What really brings the legend to life is the evocative exhaust note, one that meters on a power-on rumble, meant to turn heads and move your soul."
10 miles,"$5,449 ",HIMALAYAN,New 2023 Royal Enfield Dual Sport,
,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,"With its beautifully sculpted lines of the gleaming, hand-polished aluminum engine, classic teardrop tank and diamond-quilt-patterned twin seat, the INT650 harkens back to a golden era of motorcycling. The vintage-inspired aesthetics is augmented with the 36-spoke aluminum alloy rims and tires specially developed for Royal Enfield. What really brings the legend to life is the evocative exhaust note, one that meters on a power-on rumble, meant to turn heads and move your soul."
6 miles,"$5,499 ",INT650,New 2022 Royal Enfield Cruiser,
6 miles,"$5,999 ",INT650,New 2022 Royal Enfield Cruiser,
6 miles,"$5,999 ",INT650,New 2022 Royal Enfield Cruiser,
