mileage,price,Bike,Types and Used Time,description
"19,540 miles","$12,000 ",1190 ADVENTURE R,  2014 KTM Dual Sport,"2014 KTM 1190 Adventure R with 19540 miles. Original owner. Always garaged.  An amazing bike that will get you anywhere, through anything and FAST. All the bells, whistles and farkles (functional sparkles) you could want on this bike. It’s taken me high into the mountains and deep into the desert. Also one ****** commuter.  Service work completed by Lynwood Motoplex and Triumph of Seattle. Service documentation available. Receipts for all items below available.  Currently non-operational registration. Bike will need to be registered in buyer’s state.  Includes:Garmin – Zumo 590LM GPS Touratech – Locking Mounting Bracket (Garmin Zumo 590LM)Rottweiler Performance – Intake System: Stage 2 (w/ ducting upgrade kit)Rottweiler Performance – Tuned Velocity StackCyclops Adventure Sports – LED AUX lights (Long Range)Cyclops Adventure Sports – LED headlight conversion Scotts - Steering Stabilizer + SUB Mount KitScotts – Stainless Steel oil filterSlavens Racing – High Mount Front Fender Kit (KTM 950 Super Enduro Fender) Pivot Pegs MK3 + CJ Designs ExtensionsCox Racing – Radiator GuardKTM – OEM Heated GripsKTM – OEM Offroad Bad Fuel Dongle Kaoko – Throttle lock cruse control Wings – Titanium Slip-on Exhaust, BlackPower Commander Dyno Tuned at 2 Wheel Dyno Works - 127.74 hp / 80.28 ft-lbs (at the wheel)Touratech – Rear brake pedal extensionTouratech – Rear Splash GuardTouratech – Hand Guards, BlackTouratech – Expedition Skid PlateTouratech – Pannier Rack, SilverTouratech – Zega Pro2 Pannier, 38L, BlackTouratech – Zega Pro2 Pannier, 31L, Black  A few notes to call out: 1. Clutch lever is trimmed to function as a two finger pull and not the whole hand. Makes for smoother/quicker shifting and better comfort when depressed at stoplights. 2. Only right-side rear mirror. Left mirror was removed and misplaced in move to CA. 3. Visual damage to exhaust heat shield and titanium body. No functional implications.  Please reach out with any questions. This is one hell of a bike, I'll be sad to see it go."
,"$11,299 ",300 XC,New 2024 KTM Dirt Bike,
1 miles,"$5,799 ",390 Adventure,New 2022 KTM Sportbike,"2022 KTM 390 Adventure, MSRP/Our price does not include 585 destination.  2022 KTM 390 Adventure"
5 miles,"$4,588 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, 2022 KTM RC 390"
,"$7,695 ",450 SX-F,  2021 KTM Dirt Bike,"2021 KTM 450 SX-F , For sale is a LIKE NEW 2021 KTM 450 SXF! Only 55 original hours! Electric start and fuel injected! Bike runs ,rides and looks like new! Tons of power and easy to ride ! Very reliable and easy to maintain! Don t miss out on this one! $7695 or trade! Financing available and we accept credit cards! Call or text 208-716-3244 for more details or come down to Harper Motorsports and check it out! WE SHIP TOYS NATIONWIDE! ANY ACCESSORIES CAN BE ADDED TO OUR TOYS AND WE OFFER WARRANTIES! 7168 N Government Way Dalton Gardens ID 83815 Harper-Motorsports.com We are open Monday-Tuesday by APPOINTMENT ONLY Open Wednesday - Saturday 10:00am-5:00pm Closed Sunday If you would like to make an appt to see one of our toys please call to set it up. We are very flexible and happy to meet any day!"
,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, *Price does not include factory freight, dealer handling, applicable tax, license, and up to $200 negotiable document fee.  2023 KTM 890 Adventure R"
5 miles,"$12,999 ",690 Enduro R,New 2023 KTM Dirt Bike,"2023 KTM 690 Enduro R, 2023 KTM 690 Enduro R"
859 miles,"$18,495 ",1290 Super Duke R EVO,  2022 KTM Sportbike,"2022 KTM 1290 Super Duke R EVO, 859 MILES! JUST HAD FIRST SERVICE. TRACK PACK UNLOCKED. MINT CONDITION. PLEASE NOTE: VEHICLE SHIPS OUT OF LAS VEGAS, NV. CERTIFIED PRE-OWNED, INCLUDES WARRANTY AND FINANCING OPTIONS. NATIONWIDE SHIPPING AVAILABLE - NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT OPTIONS.  2022 KTM 1290 Super Duke R EVO"
1 miles,"$4,999 ",RC 390,New 2022 KTM Sportbike,
"13,970 miles","$10,999 ",790 Adventure R,  2020 KTM Sport Touring,"2020 KTM 790 Adventure R, Very Clean and Well Maintained!  2020 KTM 790 Adventure R"
55 miles,"$6,795 ",450 SX-F,  2020 KTM Dirt Bike,"2020 KTM 450 SX-F , For sale is a VERY CLEAN 2020 KTM 450 SX-F! Bike only has 55 original hours! Electric start and fuel injected! Bike is completely stock and ready to ride! Has upgraded Skid plate, hand guards and more! Perfect track or woods bike! Very smooth power and easy to ride. $6795 or trade! Financing available and we accept credit cards! Call or text 208-716-3244 for more details or come down to Harper Motorsports and check it out! WE SHIP TOYS NATIONWIDE! ANY ACCESSORIES CAN BE ADDED TO OUR TOYS AND WE OFFER WARRANTIES! 7168 N Government Way Dalton Gardens ID 83815 Harper-Motorsports.com We are open Monday-Tuesday by APPOINTMENT ONLY Open Wednesday - Saturday 10:00am-5:00pm Closed Sunday If you would like to make an appt to see one of our toys please call to set it up. We are very flexible and happy to meet any day!"
"1,800 miles","$4,990 ",390 Duke,  2019 KTM Standard,"2019 KTM 390 Duke,"
"8,807 miles","$15,899 ",1290 Super Duke GT,  2019 KTM Sport Touring,"2019 KTM 1290 Super Duke GT, 1-OWNER, ONLY 8,807 MILES! WINGS EXHAUST, KTM HARD SIDE LUGGAGE, HANDGUARDS, ELECTRONIC ADJUSTABLE WP SUSPENSION, ABS, TRACTION CONTROL, TOMTOM NAVIGATION MOUNT, HEATED GRIPS, HEATED SEAT, MTC, ABS, RIDE MODES CONTROL, QUICKSHIFTER, KEYLESS START, CRUISE CONTROL, KTM MY RIDE COMPATIBLE, BLUETOOTH, LED TAIL LIGHT, NEW TIRES AND MORE! SUPER CLEAN AND LOADED BIG POWER SPORT TOURING RIDE! THE RIGHT BAG HAS SOME LIGHT SCUFFS.  2019 KTM 1290 Super Duke GT"
"5,292 miles","$15,200 ",1290 SUPER DUKE GT,  2019 KTM Sport Touring,"Best deal on the web! Under Warranty, Buy with Confidence! Low miles. Original Owner.If you are in the market for the ultimate Sport Bike/Touring Bike look no further. This Mint low mile well optioned KTM is just what you are looking for. It has over $4,000.00 in upgrades, and has been meticulously cared for. Fresh oil change. Needs NOTHING! Clean title. Never down! Tons of high quality carbon fiber. CHECK.Track Pack. CHECK.Heated power parts seats CHECK.Top Case with rack and plate. CHECK.Factory crash bars. CHECK.Radiator cover. CHECK.Akropovich pipe W/removable baffle. CHECK.Tinted windscreen. CHECK. (Clear one included)Tinted Puig touring windscreen included. CHECK.Clear clutch cover. CHECK.Factory bike cover CHECK.Custom KTM valve stem caps. CHECK.Lithium battery. CHECK.Air-flow seat cover. CHECK.You are welcome to all the original parts if interested.You will not be disappointed! I have owned many bikes over the years and this is by far the best and most fun bike I have ever ridden!The best of both worlds SPORT and Touring.SPORT: 175 BHP, 106 TORQUE, SLIPPER CLUTCH, AUTO SHIFTER UP&DOWN, TRACTION CONTROL, LAUNCH CONTROL, WHEELIE CONTROL, TRACK PACK, …TOURING: CRUISE CONTROL, BLUETOOTH CONNECTIVITY LISTEN TO MUSIC & ANSWER CALLS, HEATED SEATS, HEATED GRIPS, ABS, BIG TFT DASH, ADJUSTABLE WINDSCREEN, ADJUSTABLE ERGONOMICS, QUICK RELEASE SIDE CASES and TOP CASE…Feel free to ask any questions. 9512832336"
,"$6,325 ",XC 350 F,  2017 KTM Dirt Bike,"For Sale: *MINT* KTM XCF2017 350 Dirt Bike - 16.9 Hours Ride TimeIf you're looking for a dirt bike that offers a winning combination of power, agility, and durability, look no further than this KTM XCF 350. With just 10 hours of ride time, this bike is practically brand new and ready to take on any terrain you can throw at it.Let's start with the heart of the machine: a 349cc liquid-cooled, four-stroke engine that delivers the perfect balance of power and control. The engine is paired with a six-speed transmission, allowing you to tackle any terrain with ease. And with features like electronic fuel injection and a lightweight chassis, this bike delivers unbeatable performance in all conditions.But the KTM XCF 350 isn't just about power - it's also incredibly agile and responsive. The bike's suspension system is fully adjustable, allowing you to fine-tune the ride to your exact specifications. And with features like Brembo brakes and a hydraulic clutch, you can stop on a dime and shift gears smoothly and effortlessly.Of course, a dirt bike like this isn't just about performance - it's also built to last. The KTM XCF 350 is built with high-quality materials and components, ensuring that it can withstand the rigors of even the toughest off-road riding. And with a range of advanced safety features, including a skid plate and hand guards, you can ride with confidence and peace of mind.This KTM XCF 350 has been meticulously maintained and cared for, with just 10 hours of ride time on the clock. It's in excellent condition and ready for a new owner who shares its passion for off-road adventure and excitement.If you're looking for a dirt bike that offers unbeatable performance, agility, and durability, the KTM XCF 350 is the one for you. Don't miss out on the chance to own this incredible machine - contact us today to schedule a test ride and experience it for yourself."
"18,307 miles","$9,699 ",1190 Adventure R,  2016 KTM Dual Sport,"2016 KTM 1190 Adventure R, ONLY 18,307 MILES, CRASH CAGE, HAND GUARDS, SKID PLATE, MOTO STYLE FRONT FENDER CONVERSION, RACK, PASSENGER GRAB HANDLES, ABS, TRACTION CONTROL, NAVIGATION MOUNT, AKRONT WHEELS, WP ADJUSTABLE SUSPENSION, CENTER STAND, AND MORE! CLEAN AND LOADED ADVENTURE STYLE RIDE!  2016 KTM 1190 Adventure R"
"6,059 miles","$8,500 ",690 ENDURO R,  2014 KTM Dual Sport,
,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
,"$8,399 ",450 SX-F,New 2023 KTM Mx,
,"$4,799 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM RC 390"
,"$4,799 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM RC 390"
,"$4,799 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, OR 3.99% financing for 60 months (for qualifying buyers)  2022 KTM RC 390"
,"$8,700 ",300 XC TPI,  2022 KTM Dirt Bike,2022 KTM 300XCSelling a KTM 300XC TPI with 84.6 hours. New items on bike-New front and rear Dunlop Tires-new seat-new 2022 AER forks-new triple clamps-new handle bars-new grips-new plastic-new stock pipe-brake and clutch leversAll new parts on bike are Factory KTM parts Items recently replaced -O Ring chain -brake pads front and rear-rear sprocket -rear shock service at 30hrs. -mousse bibs front and rear-all brake and clutch fluids-in tank fuel filter-piston and ring at 50 Hours (I have a brand new piston and ring that will go with new owner)Bike Details -Full chassis/bearings serviced at 30hrs. -This bike has a higher compression head for 0-6000 feet -no race gas needed. Runs on pump 92 octane. -ECU has been reflashed for cleaner fuel mixture. -VForce reeds-FMF 2.1 silencer -upgraded fuel filter and fuel bung on tank -Nihilo remote start button -radiator hose protection -Enduro Engineering skid plate and linkage guard. -Honda rear brake spring-Rekluse Torq Drive Auto Clutch. -oil changed every 3-5 hours. Spare parts to go with bike. -2 FMF pipes in perfect condition. Fatty and Gnarly-stock silencer-FMF spark arrestor (  once.)-New piston and ring -New right side radiator (current radiator has no issue. This was a spare I purchased)-carbon fiber pipe guard -air pump for forks-stock head-stock clutch-stock reeds This bike is ready to go and has been well taken care of. Nothing needed to go ride. Text for info 972-989-five eight eight three Mike Krause Firm 8700$ I will consider lower offers however I will remove spare parts to reflect offers.
"3,638 miles","$9,499 ",890 Duke R,  2021 KTM Sportbike,"2021 KTM 890 Duke R, 1-OWNER! ONLY 3638 MILES, ABS, TRACTION CONTROL, WP SUSPENSION, LED TAIL LIGHT, RIDE MODE CONTROL, REAR TAIL TIDY, AND MORE! CLEAN BIG POWER SPORT BIKE!  2021 KTM 890 Duke R"
"26,315 miles","$13,278 ",1290 Super Duke R,  2019 KTM Sportbike,"2019 KTM 1290 Super Duke R, !***Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, Ridenow Goodyear has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 844-474-3366 to get started on the path to ownership!   2019 KTM 1290 Super Duke R"
,"$8,995 ",450 XC-F,  2018 KTM Dirt Bike,"2018 KTM 450 XC-F, $9741.09 OUT THE DOOR PRICE !! Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, Ridenow Goodyear has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I ***isting with Shipping all over the United States. Start your adventure today and CALL 844-474-3366 to get started on the path to ownership!   2018 KTM 450 XC-F"
